NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION
cnn_optim_beta,finetune_cnn_after,batch_size,val_images_use,optim_epsilon,input_encoding_size,losses_log_every,id,optim_beta,input_h5,rnn_size,cnn_proto,cnn_optim_alpha,language_eval,seed,optim,gpuid,cnn_model,drop_prob_lm,grad_clip,cnn_weight_decay,save_checkpoint_every,learning_rate_decay_every,csv_out,input_json,seq_per_img,cnn_learning_rate,preprotype,cnn_optim,max_iters,checkpoint_path,start_from,learning_rate,learning_rate_decay_start,backend,beam_size,optim_alpha
0.84862907822405,-1,14,933,6.2710415830245e-08,304,25,1529504539-both,0.87480765416598,/scratch/ayachnes/Clarity-Workspace/NeuralTalk2-Android/data-both.h5,272,model/VGG_ILSVRC_16_layers_deploy.prototxt,0.55055475748402,1,92075451,sgdm,1,model/VGG_ILSVRC_16_layers.caffemodel,0.10903824181816,1.4587108703626,0,5000,50000,/scratch/ayachnes/Clarity-Workspace/NeuralTalk2-Android/hp/hp-1529504539-both.csv,/scratch/ayachnes/Clarity-Workspace/NeuralTalk2-Android/data-both.json,5,2.0927767964677e-05,both,adam,30001,,,0.00043308265280099,-1,cudnn,2,0.72027407269713
 , , , , , , , 
 , , , , , , , 
 , , , , , , , 
 , , , , , , , 
iteration, CIDEr, BLEU-1, BLEU-2, BLEU-3, BLEU-4, BLEU-AVG, ROUGE_L, METEOR, VAL_LOSS
5000, 0.0046901857017747, 0.053654850233577, 0.0071554967915806, 1.591693664685e-08, 2.4190004380184e-11, 0.015202590741571, 0.054391763054826, 0.11732237312829, 6.2688988900155
10000, 0.0059205310010351, 0.30043977521507, 0.12257503629501, 0.044789859624056, 0.014744470543576, 0.12063728541943, 0.19526929585757, 0.052060737527115, 4.8986403602684
15000, 0.012510270527612, 0.39532820353664, 0.18113073908466, 0.076604049279022, 0.030076409480341, 0.17078485034517, 0.2356366614654, 0.12131147540984, 4.5360107952591
20000, 0.017299345774108, 0.41737696445941, 0.20473228046341, 0.093078927119528, 0.035809048836711, 0.18774930521976, 0.24866561537656, 0, 4.3223433128563
25000, 0.019978086224018, 0.44276309981452, 0.22778576846839, 0.10909953470736, 0.047513591319263, 0.20679049857738, 0.26148614024413, 0.017353579175705, 4.1659037166036
30000, 0.024252081924744, 0.45938452477692, 0.2387513478527, 0.11979265788811, 0.058386286380701, 0.21907870422461, 0.2682264269833, 0.11603079384632, 4.0523276729143
NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION,NEW SESSION
cnn_optim_beta,finetune_cnn_after,batch_size,val_images_use,optim_epsilon,input_encoding_size,losses_log_every,id,optim_beta,input_h5,rnn_size,cnn_proto,cnn_optim_alpha,language_eval,seed,optim,gpuid,cnn_model,drop_prob_lm,grad_clip,cnn_weight_decay,save_checkpoint_every,learning_rate_decay_every,csv_out,input_json,seq_per_img,cnn_learning_rate,preprotype,cnn_optim,max_iters,checkpoint_path,start_from,learning_rate,learning_rate_decay_start,backend,beam_size,optim_alpha
0.88414956925341,-1,12,933,7.267408977564e-08,316,25,1529504539-both,0.93305621114789,/scratch/ayachnes/Clarity-Workspace/NeuralTalk2-Android/data-both.h5,278,model/VGG_ILSVRC_16_layers_deploy.prototxt,0.72765498122773,1,62799216,sgdm,1,model/VGG_ILSVRC_16_layers.caffemodel,0.32625704797194,4.8780782450955,0,5000,50000,/scratch/ayachnes/Clarity-Workspace/NeuralTalk2-Android/hp/hp-1529504539-both.csv,/scratch/ayachnes/Clarity-Workspace/NeuralTalk2-Android/data-both.json,5,9.7008097532848e-05,both,sgd,30001,,,0.00096688216123894,-1,cudnn,3,0.63944002812878
