Checkpoints,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,CIDEr
41999,0.270,0.161,0.104,0.077,0.131,0.309
42999,0.264,0.158,0.103,0.077,0.131,0.333
43999,0.270,0.162,0.107,0.081,0.133,0.334
44999,0.269,0.160,0.104,0.077,0.130,0.324
45999,0.268,0.161,0.105,0.079,0.131,0.327
46999,0.269,0.161,0.104,0.077,0.132,0.318
47999,0.268,0.157,0.100,0.074,0.134,0.312
48999,0.265,0.154,0.099,0.073,0.129,0.301
49999,0.263,0.154,0.098,0.072,0.128,0.297
50999,0.269,0.160,0.103,0.076,0.131,0.305
51999,0.265,0.156,0.100,0.074,0.132,0.315
52999,0.261,0.153,0.102,0.077,0.126,0.324
53999,0.263,0.154,0.099,0.073,0.130,0.302
54999,0.260,0.152,0.099,0.073,0.126,0.299
55999,0.261,0.151,0.097,0.071,0.127,0.300
56999,0.261,0.150,0.095,0.068,0.128,0.276
57999,0.260,0.151,0.095,0.070,0.128,0.269
58999,0.256,0.146,0.091,0.067,0.125,0.274
59999,0.251,0.140,0.086,0.062,0.123,0.260
60999,0.259,0.148,0.095,0.070,0.126,0.293
61999,0.261,0.150,0.095,0.069,0.128,0.284
62999,0.262,0.147,0.090,0.065,0.127,0.269
63999,0.264,0.147,0.090,0.065,0.128,0.282
64999,0.256,0.142,0.088,0.063,0.124,0.255
65999,0.258,0.148,0.094,0.069,0.126,0.279
66999,0.261,0.146,0.091,0.064,0.126,0.248
67999,0.265,0.149,0.091,0.065,0.128,0.269
68999,0.264,0.147,0.093,0.066,0.128,0.254
69999,0.244,0.130,0.078,0.054,0.120,0.249
70999,0.260,0.141,0.086,0.060,0.125,0.274
71999,0.258,0.141,0.084,0.058,0.126,0.230
72999,0.246,0.134,0.082,0.057,0.122,0.242
73999,0.252,0.138,0.085,0.060,0.124,0.245
74999,0.254,0.139,0.084,0.059,0.123,0.240
75999,0.253,0.140,0.085,0.059,0.124,0.258
76999,0.255,0.139,0.085,0.060,0.124,0.266
77999,0.260,0.141,0.085,0.059,0.125,0.243
78999,0.256,0.141,0.086,0.060,0.126,0.247
79999,0.252,0.137,0.083,0.058,0.122,0.253
80999,0.260,0.142,0.087,0.062,0.127,0.260
81999,0.260,0.140,0.083,0.057,0.125,0.236
82999,0.257,0.141,0.085,0.059,0.124,0.262
83999,0.256,0.139,0.084,0.059,0.124,0.263
84999,0.253,0.140,0.087,0.062,0.122,0.253
85999,0.248,0.136,0.081,0.056,0.121,0.241
86999,0.246,0.133,0.081,0.056,0.120,0.249
87999,0.260,0.144,0.089,0.062,0.124,0.260
88999,0.256,0.140,0.085,0.059,0.126,0.260
89999,0.256,0.141,0.086,0.061,0.125,0.259
90999,0.249,0.132,0.078,0.053,0.120,0.233
91999,0.254,0.140,0.087,0.062,0.124,0.267
92999,0.254,0.135,0.079,0.053,0.123,0.245
93999,0.256,0.139,0.083,0.057,0.122,0.242
94999,0.256,0.141,0.087,0.060,0.124,0.262
95999,0.250,0.134,0.079,0.055,0.122,0.230
96999,0.256,0.140,0.085,0.060,0.123,0.248
97999,0.251,0.134,0.079,0.055,0.122,0.258
98999,0.254,0.136,0.083,0.057,0.122,0.259
99999,0.263,0.145,0.088,0.062,0.127,0.273
100999,0.250,0.132,0.079,0.055,0.121,0.255
101999,0.247,0.131,0.078,0.053,0.120,0.246
102999,0.257,0.137,0.079,0.053,0.125,0.241
103999,0.248,0.133,0.080,0.054,0.123,0.228
104999,0.250,0.133,0.078,0.053,0.121,0.254
105999,0.251,0.135,0.079,0.053,0.123,0.254
106999,0.255,0.135,0.079,0.054,0.123,0.241
107999,0.256,0.136,0.079,0.053,0.122,0.232
108999,0.253,0.131,0.075,0.049,0.122,0.240
109999,0.254,0.137,0.082,0.056,0.122,0.239
110999,0.256,0.136,0.082,0.057,0.123,0.249
111999,0.256,0.140,0.085,0.060,0.123,0.277
112999,0.256,0.137,0.082,0.056,0.123,0.250
113999,0.254,0.138,0.084,0.058,0.123,0.259
114999,0.247,0.129,0.075,0.049,0.121,0.245
115999,0.253,0.132,0.078,0.053,0.123,0.231
116999,0.264,0.144,0.087,0.059,0.126,0.251
117999,0.244,0.128,0.076,0.052,0.119,0.239
118999,0.250,0.133,0.078,0.053,0.122,0.247
119999,0.259,0.139,0.083,0.057,0.124,0.245
120999,0.258,0.141,0.086,0.060,0.122,0.256
121999,0.254,0.136,0.078,0.051,0.123,0.240
122999,0.250,0.131,0.076,0.050,0.121,0.236
123999,0.256,0.139,0.085,0.059,0.123,0.254
124999,0.260,0.141,0.084,0.058,0.125,0.265
125999,0.259,0.140,0.083,0.055,0.123,0.220
126999,0.245,0.130,0.077,0.052,0.121,0.249
127999,0.254,0.136,0.082,0.056,0.122,0.256
128999,0.258,0.140,0.085,0.058,0.125,0.240
129999,0.260,0.143,0.087,0.060,0.124,0.260
130999,0.257,0.139,0.083,0.057,0.126,0.262
131999,0.256,0.139,0.083,0.055,0.124,0.242
132999,0.255,0.135,0.077,0.050,0.121,0.232
133999,0.248,0.129,0.074,0.049,0.121,0.239
134999,0.256,0.137,0.081,0.054,0.125,0.256
135999,0.244,0.129,0.075,0.050,0.120,0.241
136999,0.255,0.137,0.082,0.056,0.125,0.233
137999,0.255,0.136,0.081,0.054,0.123,0.227
138999,0.266,0.146,0.090,0.062,0.128,0.261
139999,0.245,0.128,0.075,0.050,0.119,0.228
140999,0.256,0.136,0.080,0.054,0.122,0.246
141999,0.267,0.146,0.088,0.060,0.128,0.268
142999,0.254,0.137,0.083,0.058,0.123,0.258
143999,0.264,0.144,0.087,0.059,0.126,0.251
144999,0.256,0.136,0.079,0.052,0.122,0.241
145999,0.251,0.132,0.075,0.050,0.123,0.230
146999,0.253,0.135,0.082,0.057,0.122,0.244
147999,0.247,0.127,0.072,0.047,0.120,0.227
148999,0.254,0.135,0.081,0.055,0.121,0.236
149999,0.251,0.132,0.076,0.050,0.122,0.239
150999,0.256,0.134,0.077,0.051,0.123,0.231
151999,0.256,0.136,0.081,0.055,0.123,0.250
152999,0.256,0.136,0.079,0.052,0.122,0.232
153999,0.261,0.142,0.085,0.057,0.127,0.243
154999,0.251,0.132,0.076,0.050,0.121,0.238
155999,0.258,0.140,0.083,0.056,0.124,0.241
156999,0.260,0.138,0.082,0.056,0.125,0.228
157999,0.251,0.131,0.074,0.049,0.122,0.236
158999,0.250,0.135,0.080,0.054,0.122,0.237
159999,0.252,0.134,0.079,0.052,0.122,0.237
160999,0.257,0.138,0.081,0.055,0.124,0.238
161999,0.258,0.139,0.083,0.057,0.123,0.233
162999,0.244,0.124,0.066,0.041,0.119,0.208
163999,0.247,0.132,0.077,0.052,0.121,0.230
164999,0.253,0.135,0.078,0.051,0.123,0.234
165999,0.256,0.135,0.078,0.051,0.123,0.236
166999,0.253,0.131,0.073,0.048,0.121,0.239
167999,0.239,0.120,0.066,0.042,0.118,0.217
168999,0.254,0.133,0.076,0.051,0.123,0.242
169999,0.263,0.140,0.082,0.056,0.126,0.247
170999,0.259,0.139,0.083,0.056,0.123,0.249
171999,0.257,0.136,0.078,0.051,0.122,0.226
172999,0.252,0.134,0.079,0.053,0.121,0.241
173999,0.259,0.138,0.081,0.054,0.123,0.244
174999,0.258,0.138,0.081,0.054,0.124,0.228
175999,0.253,0.131,0.074,0.048,0.122,0.227
176999,0.247,0.132,0.076,0.050,0.121,0.229
177999,0.251,0.133,0.077,0.052,0.122,0.235
178999,0.250,0.131,0.077,0.051,0.122,0.240
179999,0.249,0.131,0.076,0.051,0.120,0.233
180999,0.261,0.141,0.084,0.056,0.124,0.250
181999,0.257,0.142,0.086,0.060,0.123,0.250
182999,0.255,0.134,0.077,0.050,0.123,0.226
183999,0.252,0.132,0.078,0.053,0.122,0.231
184999,0.254,0.135,0.080,0.054,0.122,0.240
185999,0.248,0.130,0.076,0.051,0.121,0.233
186999,0.259,0.140,0.086,0.060,0.124,0.265
187999,0.255,0.133,0.078,0.052,0.122,0.231
188999,0.256,0.137,0.080,0.054,0.122,0.248
189999,0.258,0.138,0.082,0.056,0.123,0.248
190999,0.260,0.142,0.085,0.058,0.124,0.258
191999,0.252,0.136,0.082,0.055,0.122,0.234
192999,0.262,0.142,0.085,0.058,0.125,0.262
193999,0.253,0.137,0.080,0.054,0.121,0.232
194999,0.259,0.138,0.082,0.056,0.123,0.242
195999,0.253,0.135,0.080,0.053,0.121,0.239
196999,0.256,0.138,0.082,0.055,0.124,0.255
197999,0.253,0.134,0.080,0.054,0.122,0.240
198999,0.246,0.131,0.076,0.052,0.119,0.240
199999,0.244,0.128,0.076,0.052,0.117,0.220
200999,0.255,0.135,0.079,0.053,0.122,0.247
201999,0.261,0.140,0.083,0.057,0.126,0.248
202999,0.254,0.136,0.080,0.053,0.122,0.217
203999,0.253,0.136,0.081,0.056,0.121,0.227
204999,0.249,0.133,0.080,0.054,0.121,0.245
205999,0.246,0.131,0.077,0.052,0.121,0.241
206999,0.255,0.132,0.077,0.050,0.123,0.237
207999,0.250,0.128,0.074,0.048,0.120,0.228
208999,0.248,0.131,0.076,0.050,0.121,0.236
209999,0.252,0.132,0.076,0.050,0.122,0.225
210999,0.262,0.139,0.081,0.053,0.125,0.223
211999,0.251,0.127,0.072,0.046,0.121,0.207
212999,0.256,0.133,0.077,0.051,0.122,0.214
213999,0.251,0.133,0.078,0.052,0.121,0.223
214999,0.257,0.136,0.079,0.052,0.121,0.225
215999,0.262,0.142,0.086,0.058,0.126,0.259
216999,0.258,0.136,0.081,0.055,0.123,0.233
217999,0.263,0.141,0.085,0.058,0.125,0.262
218999,0.252,0.130,0.076,0.050,0.121,0.230
219999,0.251,0.132,0.076,0.051,0.121,0.218
220999,0.246,0.126,0.072,0.047,0.118,0.210
221999,0.263,0.142,0.086,0.059,0.125,0.243
222999,0.258,0.138,0.082,0.055,0.124,0.249
223999,0.260,0.136,0.080,0.054,0.124,0.249
224999,0.260,0.138,0.081,0.055,0.122,0.233
225999,0.257,0.134,0.079,0.053,0.121,0.231
226999,0.257,0.135,0.080,0.054,0.123,0.227
227999,0.260,0.138,0.081,0.054,0.125,0.239
228999,0.252,0.132,0.078,0.052,0.121,0.231
229999,0.257,0.136,0.079,0.052,0.122,0.224
230999,0.257,0.136,0.078,0.051,0.122,0.245
231999,0.258,0.137,0.082,0.055,0.122,0.230
232999,0.261,0.140,0.082,0.055,0.124,0.233
233999,0.265,0.140,0.082,0.054,0.126,0.238
234999,0.265,0.143,0.086,0.059,0.126,0.240
235999,0.255,0.137,0.082,0.056,0.122,0.246
236999,0.256,0.133,0.075,0.049,0.122,0.210
237999,0.248,0.129,0.077,0.052,0.119,0.220
238999,0.255,0.132,0.077,0.052,0.121,0.235
239999,0.258,0.140,0.085,0.058,0.122,0.238
240999,0.260,0.137,0.081,0.054,0.122,0.226
241999,0.261,0.141,0.085,0.058,0.124,0.254
242999,0.255,0.132,0.077,0.050,0.121,0.229
243999,0.259,0.137,0.080,0.054,0.123,0.230
244999,0.256,0.137,0.083,0.057,0.122,0.241
245999,0.261,0.139,0.081,0.054,0.126,0.235
246999,0.250,0.131,0.077,0.051,0.120,0.221
247999,0.251,0.131,0.075,0.050,0.119,0.217
248999,0.261,0.138,0.081,0.053,0.124,0.230
249999,0.258,0.137,0.080,0.053,0.124,0.231
250999,0.263,0.139,0.081,0.054,0.125,0.226
251999,0.252,0.134,0.079,0.052,0.122,0.247
252999,0.259,0.137,0.081,0.054,0.123,0.224
253999,0.252,0.133,0.077,0.050,0.121,0.238
254999,0.261,0.139,0.083,0.057,0.123,0.230
255999,0.256,0.136,0.081,0.056,0.123,0.245
256999,0.255,0.133,0.078,0.052,0.121,0.229
257999,0.258,0.137,0.080,0.053,0.122,0.223
258999,0.257,0.134,0.078,0.053,0.123,0.228
259999,0.253,0.137,0.082,0.056,0.124,0.247
260999,0.265,0.143,0.087,0.059,0.126,0.246
261999,0.251,0.135,0.080,0.054,0.121,0.223
262999,0.255,0.137,0.082,0.057,0.123,0.234
263999,0.247,0.129,0.075,0.050,0.119,0.223
264999,0.259,0.137,0.079,0.053,0.122,0.227
265999,0.264,0.141,0.083,0.056,0.124,0.232
266999,0.250,0.132,0.077,0.051,0.120,0.224
267999,0.254,0.132,0.073,0.047,0.121,0.216
268999,0.254,0.136,0.081,0.055,0.121,0.237
269999,0.257,0.137,0.080,0.054,0.122,0.231
270999,0.257,0.136,0.080,0.053,0.122,0.243
271999,0.261,0.140,0.082,0.055,0.126,0.235
272999,0.259,0.139,0.084,0.057,0.123,0.240
273999,0.260,0.139,0.084,0.057,0.122,0.253
274999,0.257,0.137,0.080,0.053,0.122,0.240
275999,0.259,0.138,0.081,0.055,0.121,0.233
276999,0.255,0.133,0.078,0.051,0.123,0.240
277999,0.264,0.140,0.083,0.056,0.125,0.239
278999,0.264,0.138,0.081,0.054,0.123,0.229
279999,0.257,0.133,0.076,0.049,0.122,0.228
280999,0.257,0.138,0.082,0.056,0.124,0.247
281999,0.258,0.139,0.083,0.056,0.124,0.232
282999,0.259,0.139,0.083,0.057,0.124,0.238
283999,0.252,0.133,0.078,0.052,0.121,0.226
284999,0.256,0.137,0.081,0.054,0.123,0.240
285999,0.255,0.132,0.078,0.052,0.121,0.222
286999,0.264,0.140,0.083,0.056,0.126,0.240
287999,0.264,0.140,0.083,0.055,0.125,0.246
288999,0.253,0.133,0.078,0.052,0.121,0.232
289999,0.258,0.135,0.075,0.049,0.123,0.228
290999,0.252,0.131,0.075,0.049,0.121,0.212
291999,0.259,0.138,0.082,0.056,0.123,0.221
292999,0.253,0.134,0.080,0.054,0.122,0.240
293999,0.251,0.132,0.078,0.052,0.122,0.231
294999,0.255,0.133,0.078,0.051,0.122,0.219
295999,0.259,0.138,0.082,0.055,0.123,0.233
296999,0.248,0.129,0.074,0.049,0.122,0.213
297999,0.256,0.133,0.078,0.051,0.120,0.216
298999,0.254,0.132,0.076,0.051,0.121,0.220
299999,0.256,0.138,0.082,0.055,0.123,0.236
300999,0.259,0.138,0.079,0.052,0.124,0.238
301999,0.252,0.131,0.076,0.050,0.120,0.232
302999,0.259,0.138,0.082,0.057,0.123,0.225
303999,0.250,0.135,0.079,0.054,0.121,0.231
304999,0.244,0.127,0.071,0.045,0.119,0.210
305999,0.259,0.137,0.081,0.054,0.124,0.227
306999,0.260,0.140,0.081,0.054,0.124,0.240
307999,0.247,0.130,0.076,0.050,0.120,0.222
308999,0.253,0.132,0.077,0.052,0.120,0.228
309999,0.252,0.132,0.076,0.050,0.121,0.227
310999,0.255,0.134,0.079,0.053,0.122,0.219
311999,0.260,0.139,0.081,0.054,0.124,0.226
312999,0.244,0.126,0.071,0.047,0.119,0.228
313999,0.253,0.132,0.076,0.050,0.120,0.221
314999,0.259,0.137,0.081,0.054,0.125,0.228
315999,0.251,0.129,0.073,0.048,0.119,0.224
316999,0.258,0.137,0.082,0.055,0.122,0.234
317999,0.268,0.145,0.087,0.059,0.125,0.246
318999,0.257,0.139,0.082,0.055,0.122,0.238
319999,0.254,0.135,0.079,0.052,0.121,0.227
320999,0.258,0.138,0.081,0.055,0.124,0.226
321999,0.262,0.140,0.081,0.054,0.124,0.228
322999,0.265,0.140,0.081,0.053,0.126,0.240
323999,0.266,0.146,0.089,0.061,0.126,0.227
324999,0.255,0.138,0.083,0.058,0.122,0.242
325999,0.253,0.135,0.079,0.052,0.122,0.231
326999,0.259,0.141,0.086,0.059,0.123,0.254
327999,0.255,0.133,0.077,0.052,0.122,0.227
328999,0.267,0.144,0.086,0.058,0.125,0.220
329999,0.258,0.136,0.079,0.052,0.124,0.232
330999,0.264,0.143,0.085,0.058,0.126,0.245
331999,0.260,0.138,0.080,0.054,0.122,0.232
332999,0.252,0.132,0.075,0.048,0.121,0.217
333999,0.261,0.138,0.081,0.054,0.123,0.234
334999,0.250,0.131,0.076,0.051,0.120,0.228
335999,0.248,0.130,0.075,0.050,0.120,0.235
336999,0.265,0.143,0.085,0.058,0.125,0.236
337999,0.252,0.136,0.081,0.054,0.121,0.236
338999,0.258,0.136,0.080,0.053,0.124,0.244
339999,0.263,0.143,0.086,0.059,0.125,0.244
340999,0.256,0.132,0.075,0.048,0.122,0.242
341999,0.262,0.139,0.080,0.053,0.124,0.226
342999,0.252,0.135,0.079,0.053,0.121,0.236
343999,0.259,0.139,0.084,0.057,0.122,0.264
344999,0.253,0.131,0.074,0.048,0.119,0.218
345999,0.248,0.127,0.073,0.048,0.118,0.215
346999,0.252,0.131,0.073,0.047,0.121,0.206
347999,0.256,0.134,0.076,0.049,0.122,0.225
348999,0.266,0.143,0.085,0.058,0.127,0.244
349999,0.249,0.130,0.075,0.049,0.120,0.224
350999,0.251,0.133,0.078,0.052,0.122,0.233
351999,0.259,0.139,0.082,0.055,0.124,0.242
352999,0.267,0.144,0.085,0.057,0.127,0.248
353999,0.253,0.132,0.078,0.052,0.120,0.231
354999,0.250,0.130,0.075,0.050,0.121,0.221
355999,0.255,0.137,0.083,0.058,0.122,0.240
356999,0.262,0.141,0.084,0.058,0.123,0.231
357999,0.258,0.138,0.083,0.056,0.122,0.240
358999,0.260,0.138,0.083,0.055,0.122,0.235
359999,0.260,0.140,0.084,0.057,0.125,0.240
360999,0.263,0.138,0.082,0.055,0.124,0.244
361999,0.253,0.137,0.082,0.056,0.122,0.234
362999,0.259,0.137,0.079,0.053,0.123,0.232
363999,0.252,0.133,0.078,0.053,0.119,0.227
364999,0.253,0.133,0.079,0.053,0.119,0.232
365999,0.258,0.134,0.078,0.053,0.123,0.229
366999,0.252,0.133,0.075,0.050,0.119,0.229
367999,0.257,0.134,0.077,0.051,0.120,0.220
368999,0.256,0.135,0.077,0.050,0.123,0.216
369999,0.255,0.137,0.080,0.054,0.122,0.236
370999,0.260,0.137,0.077,0.049,0.124,0.218
371999,0.265,0.141,0.084,0.057,0.124,0.239
372999,0.264,0.144,0.088,0.060,0.125,0.259
373999,0.257,0.138,0.082,0.056,0.124,0.246
374999,0.260,0.139,0.084,0.058,0.122,0.223
375999,0.249,0.133,0.079,0.054,0.120,0.243
376999,0.250,0.134,0.081,0.055,0.119,0.228
377999,0.261,0.144,0.088,0.061,0.125,0.250
378999,0.253,0.134,0.079,0.053,0.121,0.240
379999,0.258,0.139,0.083,0.056,0.124,0.239
380999,0.259,0.138,0.082,0.055,0.122,0.227
381999,0.265,0.142,0.084,0.057,0.124,0.239
382999,0.258,0.138,0.080,0.053,0.124,0.258
383999,0.265,0.140,0.082,0.055,0.125,0.235
384999,0.255,0.133,0.076,0.050,0.121,0.233
385999,0.254,0.134,0.079,0.053,0.122,0.212
386999,0.260,0.139,0.082,0.055,0.124,0.228
387999,0.251,0.132,0.075,0.051,0.122,0.230
388999,0.269,0.144,0.086,0.058,0.127,0.244
389999,0.262,0.143,0.087,0.060,0.124,0.257
390999,0.256,0.135,0.079,0.053,0.121,0.229
391999,0.257,0.139,0.083,0.056,0.124,0.241
392999,0.263,0.142,0.086,0.059,0.126,0.244
393999,0.262,0.142,0.086,0.059,0.125,0.247
394999,0.265,0.145,0.086,0.058,0.126,0.247
395999,0.254,0.136,0.081,0.056,0.121,0.240
396999,0.253,0.130,0.072,0.046,0.121,0.222
397999,0.265,0.143,0.083,0.056,0.125,0.240
398999,0.262,0.139,0.080,0.052,0.124,0.232
399999,0.269,0.147,0.089,0.062,0.128,0.245
400999,0.261,0.140,0.084,0.057,0.123,0.233
401999,0.262,0.139,0.081,0.053,0.123,0.233
402999,0.264,0.142,0.085,0.059,0.125,0.243
403999,0.254,0.134,0.078,0.051,0.121,0.225
404999,0.260,0.137,0.080,0.053,0.123,0.228
405999,0.255,0.136,0.082,0.057,0.122,0.247
406999,0.260,0.138,0.082,0.056,0.125,0.245
407999,0.254,0.134,0.079,0.054,0.122,0.238
408999,0.260,0.137,0.080,0.053,0.124,0.235
409999,0.260,0.140,0.084,0.057,0.124,0.239
410999,0.262,0.141,0.085,0.058,0.125,0.251
411999,0.250,0.131,0.076,0.051,0.119,0.227
412999,0.259,0.139,0.082,0.056,0.123,0.233
413999,0.265,0.141,0.083,0.056,0.125,0.245
414999,0.254,0.136,0.082,0.056,0.123,0.238
415999,0.260,0.136,0.079,0.052,0.122,0.207
416999,0.264,0.140,0.083,0.056,0.125,0.230
417999,0.257,0.137,0.081,0.055,0.121,0.230
418999,0.259,0.137,0.081,0.055,0.122,0.258
419999,0.261,0.138,0.080,0.054,0.122,0.231
420999,0.260,0.140,0.083,0.056,0.124,0.245
421999,0.260,0.140,0.083,0.057,0.125,0.243
422999,0.265,0.143,0.086,0.059,0.126,0.243
423999,0.248,0.128,0.074,0.047,0.120,0.217
424999,0.256,0.133,0.077,0.051,0.121,0.220
425999,0.252,0.130,0.074,0.049,0.119,0.213
426999,0.256,0.136,0.081,0.055,0.121,0.235
427999,0.260,0.139,0.083,0.056,0.124,0.249
428999,0.257,0.136,0.080,0.054,0.121,0.223
429999,0.253,0.134,0.078,0.052,0.122,0.238
430999,0.267,0.142,0.086,0.059,0.125,0.239
431999,0.260,0.143,0.088,0.061,0.124,0.250
432999,0.259,0.137,0.080,0.054,0.121,0.233
433999,0.259,0.141,0.084,0.056,0.122,0.239
434999,0.253,0.134,0.079,0.053,0.121,0.217
435999,0.256,0.136,0.078,0.052,0.123,0.221
436999,0.257,0.135,0.079,0.053,0.122,0.223
437999,0.250,0.130,0.075,0.050,0.120,0.227
438999,0.258,0.136,0.079,0.053,0.124,0.229
439999,0.249,0.132,0.077,0.052,0.119,0.217
440999,0.263,0.139,0.083,0.056,0.125,0.237
441999,0.256,0.136,0.080,0.053,0.122,0.225
442999,0.262,0.143,0.086,0.059,0.125,0.241
443999,0.264,0.143,0.087,0.060,0.125,0.256
444999,0.260,0.136,0.079,0.053,0.123,0.234
445999,0.259,0.136,0.081,0.055,0.122,0.228
446999,0.254,0.137,0.083,0.058,0.122,0.248
447999,0.258,0.140,0.085,0.059,0.122,0.249
448999,0.262,0.141,0.083,0.056,0.125,0.249
449999,0.257,0.135,0.079,0.052,0.122,0.229
450999,0.259,0.139,0.082,0.055,0.125,0.248
451999,0.252,0.133,0.079,0.053,0.121,0.246
452999,0.263,0.137,0.081,0.054,0.123,0.246
453999,0.267,0.142,0.085,0.058,0.126,0.228
454999,0.250,0.132,0.078,0.052,0.120,0.218
455999,0.252,0.134,0.079,0.053,0.121,0.231
456999,0.256,0.134,0.079,0.054,0.122,0.229
457999,0.261,0.141,0.085,0.058,0.125,0.240
458999,0.256,0.134,0.078,0.051,0.121,0.223
459999,0.261,0.138,0.080,0.053,0.123,0.217
460999,0.255,0.135,0.079,0.053,0.122,0.227
461999,0.268,0.147,0.090,0.061,0.128,0.252
462999,0.261,0.140,0.083,0.055,0.124,0.230
463999,0.264,0.140,0.083,0.056,0.126,0.243
464999,0.251,0.134,0.078,0.053,0.121,0.239
465999,0.259,0.139,0.082,0.054,0.124,0.238
466999,0.258,0.136,0.080,0.053,0.123,0.239
467999,0.254,0.134,0.078,0.053,0.123,0.234
468999,0.267,0.146,0.088,0.059,0.127,0.257
469999,0.262,0.139,0.081,0.054,0.124,0.233
470999,0.263,0.143,0.087,0.058,0.126,0.232
471999,0.267,0.143,0.087,0.059,0.126,0.234
472999,0.260,0.137,0.079,0.052,0.124,0.231
473999,0.258,0.140,0.085,0.058,0.125,0.239
474999,0.261,0.139,0.082,0.056,0.125,0.230
475999,0.261,0.138,0.080,0.054,0.123,0.236
476999,0.257,0.135,0.078,0.052,0.122,0.225
477999,0.251,0.132,0.075,0.050,0.122,0.224
478999,0.258,0.137,0.077,0.050,0.124,0.231
479999,0.264,0.142,0.084,0.058,0.126,0.248
480999,0.260,0.138,0.080,0.054,0.124,0.223
481999,0.253,0.133,0.078,0.051,0.123,0.227
482999,0.261,0.137,0.078,0.051,0.125,0.224
483999,0.256,0.137,0.081,0.054,0.125,0.247
484999,0.254,0.132,0.075,0.049,0.123,0.233
485999,0.262,0.141,0.083,0.056,0.124,0.233
486999,0.247,0.128,0.073,0.047,0.120,0.217
487999,0.258,0.135,0.079,0.053,0.122,0.238
488999,0.272,0.146,0.086,0.058,0.128,0.251
489999,0.265,0.144,0.088,0.061,0.124,0.235
490999,0.263,0.142,0.085,0.057,0.124,0.236
491999,0.270,0.146,0.088,0.059,0.126,0.251
492999,0.261,0.138,0.081,0.055,0.124,0.231
493999,0.262,0.141,0.083,0.057,0.125,0.258
494999,0.264,0.145,0.088,0.060,0.126,0.251
495999,0.249,0.131,0.078,0.052,0.121,0.232
496999,0.262,0.144,0.088,0.061,0.125,0.244
497999,0.253,0.135,0.080,0.054,0.122,0.224
498999,0.262,0.141,0.084,0.057,0.125,0.236
499999,0.261,0.137,0.081,0.055,0.122,0.241
