Checkpoints,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,CIDEr
999,0.294,0.183,0.129,0.098,0.133,0.277
1999,0.301,0.183,0.128,0.097,0.134,0.225
2999,0.296,0.181,0.126,0.097,0.134,0.226
3999,0.200,0.106,0.065,0.045,0.096,0.232
4999,0.294,0.179,0.124,0.096,0.133,0.230
5999,0.202,0.108,0.067,0.048,0.098,0.244
6999,0.252,0.153,0.104,0.080,0.122,0.276
7999,0.213,0.119,0.077,0.056,0.103,0.285
8999,0.240,0.140,0.092,0.069,0.116,0.305
9999,0.265,0.161,0.110,0.085,0.126,0.291
10999,0.230,0.131,0.085,0.063,0.110,0.292
11999,0.243,0.144,0.096,0.072,0.117,0.289
12999,0.263,0.153,0.100,0.074,0.124,0.296
13999,0.282,0.167,0.107,0.080,0.135,0.282
14999,0.256,0.154,0.106,0.082,0.122,0.307
15999,0.287,0.172,0.113,0.086,0.136,0.289
16999,0.273,0.161,0.105,0.079,0.131,0.320
17999,0.266,0.159,0.106,0.081,0.129,0.323
18999,0.252,0.148,0.096,0.072,0.122,0.314
19999,0.243,0.140,0.091,0.067,0.117,0.302
20999,0.273,0.160,0.101,0.075,0.135,0.324
21999,0.283,0.171,0.114,0.087,0.138,0.333
22999,0.265,0.155,0.100,0.075,0.128,0.306
23999,0.254,0.147,0.096,0.072,0.123,0.297
24999,0.267,0.161,0.108,0.083,0.130,0.317
25999,0.276,0.168,0.112,0.084,0.136,0.337
26999,0.264,0.159,0.107,0.081,0.129,0.324
27999,0.270,0.164,0.111,0.086,0.131,0.349
28999,0.278,0.170,0.116,0.089,0.134,0.323
29999,0.280,0.167,0.110,0.084,0.136,0.348
30999,0.272,0.163,0.106,0.079,0.135,0.338
31999,0.275,0.169,0.114,0.087,0.134,0.341
32999,0.276,0.168,0.110,0.082,0.136,0.344
33999,0.271,0.163,0.108,0.082,0.134,0.372
34999,0.278,0.169,0.112,0.085,0.136,0.355
35999,0.270,0.161,0.105,0.079,0.133,0.336
36999,0.257,0.149,0.096,0.071,0.124,0.299
37999,0.274,0.166,0.110,0.084,0.133,0.340
38999,0.267,0.160,0.104,0.078,0.133,0.327
39999,0.267,0.159,0.101,0.075,0.131,0.320
40999,0.272,0.163,0.106,0.079,0.134,0.332
