Checkpoints,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,CIDEr
999,0.561,0.420,0.305,0.209,0.147,0.112
1999,0.556,0.406,0.289,0.197,0.153,0.119
2999,0.556,0.406,0.289,0.197,0.153,0.119
3999,0.509,0.373,0.266,0.190,0.187,0.144
4999,0.556,0.406,0.289,0.197,0.153,0.119
5999,0.510,0.371,0.259,0.186,0.186,0.137
6999,0.556,0.406,0.289,0.197,0.153,0.119
7999,0.556,0.406,0.289,0.197,0.153,0.119
8999,0.556,0.406,0.289,0.197,0.153,0.119
9999,0.556,0.406,0.289,0.197,0.153,0.119
10999,0.562,0.411,0.295,0.205,0.157,0.133
11999,0.492,0.357,0.245,0.176,0.182,0.113
12999,0.557,0.376,0.258,0.179,0.192,0.162
13999,0.519,0.380,0.272,0.195,0.185,0.156
14999,0.566,0.420,0.303,0.219,0.177,0.146
15999,0.517,0.377,0.265,0.192,0.182,0.145
16999,0.565,0.420,0.302,0.218,0.177,0.136
17999,0.511,0.370,0.257,0.186,0.179,0.144
18999,0.512,0.369,0.256,0.184,0.177,0.136
19999,0.542,0.391,0.278,0.200,0.167,0.163
20999,0.539,0.392,0.280,0.204,0.185,0.176
21999,0.527,0.384,0.273,0.197,0.179,0.164
22999,0.553,0.399,0.284,0.204,0.173,0.152
23999,0.558,0.412,0.298,0.220,0.184,0.183
24999,0.552,0.400,0.284,0.208,0.178,0.170
25999,0.549,0.401,0.283,0.204,0.178,0.151
26999,0.533,0.390,0.279,0.204,0.181,0.180
27999,0.523,0.381,0.269,0.195,0.180,0.171
28999,0.542,0.394,0.280,0.203,0.174,0.158
29999,0.525,0.381,0.271,0.196,0.174,0.164
30999,0.527,0.387,0.277,0.202,0.186,0.161
31999,0.552,0.400,0.280,0.198,0.175,0.131
32999,0.537,0.390,0.275,0.200,0.173,0.153
33999,0.528,0.382,0.269,0.197,0.174,0.164
34999,0.550,0.401,0.286,0.207,0.177,0.166
35999,0.537,0.390,0.278,0.203,0.177,0.172
36999,0.547,0.388,0.276,0.203,0.168,0.182
37999,0.529,0.382,0.266,0.192,0.183,0.142
38999,0.533,0.391,0.279,0.204,0.182,0.168
39999,0.544,0.393,0.277,0.202,0.175,0.168
40999,0.549,0.400,0.283,0.206,0.174,0.154
41999,0.541,0.398,0.282,0.204,0.178,0.160
42999,0.532,0.383,0.271,0.200,0.177,0.170
43999,0.540,0.396,0.284,0.209,0.180,0.175
44999,0.532,0.385,0.273,0.200,0.176,0.165
45999,0.528,0.386,0.277,0.202,0.175,0.174
46999,0.525,0.378,0.265,0.193,0.175,0.150
47999,0.516,0.362,0.252,0.179,0.158,0.165
48999,0.540,0.392,0.276,0.200,0.177,0.156
49999,0.548,0.398,0.282,0.205,0.172,0.166
50999,0.549,0.398,0.281,0.204,0.177,0.152
51999,0.546,0.397,0.282,0.204,0.176,0.161
52999,0.540,0.396,0.282,0.206,0.181,0.167
53999,0.536,0.389,0.275,0.200,0.178,0.163
54999,0.554,0.406,0.291,0.211,0.179,0.173
55999,0.535,0.389,0.275,0.198,0.181,0.176
56999,0.541,0.388,0.274,0.197,0.171,0.174
57999,0.558,0.407,0.289,0.211,0.179,0.169
58999,0.547,0.396,0.280,0.202,0.174,0.163
59999,0.545,0.392,0.274,0.199,0.177,0.151
60999,0.541,0.393,0.278,0.203,0.185,0.172
61999,0.541,0.389,0.277,0.203,0.178,0.182
62999,0.547,0.398,0.284,0.207,0.175,0.185
63999,0.538,0.391,0.276,0.201,0.179,0.161
64999,0.553,0.405,0.289,0.211,0.180,0.177
65999,0.534,0.389,0.278,0.205,0.183,0.191
66999,0.540,0.393,0.281,0.207,0.180,0.176
67999,0.544,0.399,0.286,0.210,0.182,0.173
68999,0.545,0.397,0.281,0.203,0.180,0.172
69999,0.540,0.396,0.282,0.207,0.182,0.179
70999,0.546,0.387,0.277,0.205,0.168,0.206
71999,0.553,0.400,0.283,0.206,0.174,0.173
72999,0.552,0.400,0.282,0.204,0.177,0.152
73999,0.529,0.382,0.269,0.195,0.177,0.174
74999,0.551,0.399,0.282,0.203,0.172,0.164
75999,0.551,0.400,0.285,0.209,0.180,0.182
76999,0.547,0.395,0.281,0.207,0.174,0.171
77999,0.554,0.400,0.284,0.205,0.177,0.183
78999,0.551,0.397,0.282,0.207,0.180,0.178
79999,0.536,0.381,0.267,0.192,0.163,0.170
80999,0.549,0.397,0.283,0.204,0.176,0.178
81999,0.546,0.397,0.282,0.205,0.178,0.183
82999,0.539,0.386,0.267,0.188,0.173,0.147
83999,0.549,0.395,0.280,0.204,0.174,0.187
84999,0.549,0.397,0.282,0.203,0.179,0.183
85999,0.546,0.396,0.280,0.199,0.171,0.164
86999,0.547,0.395,0.282,0.205,0.176,0.191
87999,0.540,0.391,0.279,0.202,0.178,0.174
88999,0.544,0.395,0.282,0.204,0.179,0.175
89999,0.538,0.388,0.274,0.199,0.178,0.172
90999,0.548,0.396,0.279,0.202,0.176,0.158
91999,0.551,0.399,0.286,0.210,0.182,0.184
92999,0.550,0.398,0.279,0.201,0.176,0.176
93999,0.561,0.403,0.286,0.207,0.175,0.177
94999,0.545,0.388,0.274,0.198,0.162,0.172
95999,0.550,0.400,0.285,0.205,0.170,0.164
96999,0.551,0.401,0.287,0.210,0.176,0.194
97999,0.545,0.396,0.280,0.201,0.174,0.165
98999,0.561,0.403,0.288,0.210,0.169,0.168
99999,0.550,0.395,0.279,0.202,0.176,0.190
100999,0.544,0.393,0.280,0.204,0.173,0.187
101999,0.553,0.399,0.282,0.201,0.170,0.175
102999,0.544,0.392,0.278,0.202,0.179,0.173
103999,0.554,0.398,0.281,0.203,0.171,0.169
104999,0.547,0.391,0.274,0.198,0.168,0.181
105999,0.552,0.400,0.282,0.204,0.175,0.174
106999,0.559,0.406,0.287,0.208,0.179,0.176
107999,0.549,0.398,0.283,0.205,0.178,0.180
108999,0.546,0.394,0.281,0.204,0.176,0.189
109999,0.551,0.399,0.284,0.207,0.176,0.185
110999,0.545,0.391,0.278,0.203,0.173,0.183
111999,0.549,0.399,0.281,0.200,0.175,0.162
112999,0.551,0.397,0.282,0.204,0.167,0.175
113999,0.558,0.403,0.284,0.204,0.176,0.187
114999,0.547,0.396,0.279,0.201,0.176,0.158
115999,0.551,0.399,0.284,0.205,0.175,0.175
116999,0.552,0.396,0.279,0.202,0.173,0.177
117999,0.556,0.401,0.285,0.206,0.167,0.169
118999,0.562,0.406,0.289,0.210,0.175,0.177
119999,0.544,0.393,0.278,0.200,0.177,0.168
120999,0.553,0.397,0.280,0.203,0.178,0.182
121999,0.546,0.392,0.276,0.197,0.175,0.173
122999,0.540,0.383,0.269,0.194,0.168,0.163
123999,0.556,0.398,0.280,0.201,0.171,0.169
124999,0.550,0.391,0.275,0.199,0.172,0.177
125999,0.529,0.369,0.257,0.185,0.163,0.163
126999,0.546,0.387,0.273,0.196,0.166,0.178
127999,0.544,0.383,0.266,0.189,0.170,0.163
128999,0.544,0.388,0.275,0.199,0.169,0.182
129999,0.550,0.395,0.280,0.200,0.175,0.175
130999,0.557,0.399,0.285,0.207,0.173,0.188
131999,0.546,0.386,0.267,0.188,0.167,0.155
132999,0.536,0.382,0.268,0.192,0.168,0.173
133999,0.552,0.394,0.278,0.200,0.173,0.174
134999,0.542,0.384,0.272,0.196,0.167,0.185
135999,0.541,0.378,0.263,0.188,0.166,0.170
136999,0.560,0.402,0.284,0.203,0.172,0.176
137999,0.550,0.391,0.277,0.199,0.168,0.178
138999,0.549,0.391,0.275,0.196,0.172,0.170
139999,0.535,0.371,0.254,0.179,0.162,0.153
140999,0.551,0.390,0.273,0.197,0.170,0.179
141999,0.556,0.395,0.278,0.199,0.168,0.171
142999,0.557,0.397,0.280,0.201,0.170,0.167
143999,0.554,0.392,0.273,0.193,0.169,0.174
