Checkpoints,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,CIDEr
999,0.419,0.314,0.229,0.158,0.146,0.142
1999,0.468,0.349,0.259,0.195,0.146,0.138
2999,0.468,0.349,0.259,0.195,0.146,0.138
3999,0.450,0.325,0.229,0.163,0.143,0.105
4999,0.468,0.345,0.251,0.181,0.177,0.183
5999,0.475,0.346,0.254,0.186,0.171,0.192
6999,0.463,0.336,0.245,0.179,0.171,0.193
7999,0.442,0.320,0.228,0.160,0.155,0.180
8999,0.488,0.359,0.257,0.189,0.173,0.173
9999,0.487,0.359,0.258,0.188,0.172,0.178
10999,0.470,0.343,0.243,0.179,0.169,0.174
11999,0.510,0.375,0.272,0.197,0.179,0.201
12999,0.505,0.377,0.276,0.204,0.179,0.203
13999,0.497,0.367,0.264,0.193,0.175,0.198
14999,0.493,0.359,0.256,0.187,0.180,0.187
15999,0.509,0.379,0.279,0.207,0.180,0.223
16999,0.472,0.346,0.249,0.183,0.171,0.208
17999,0.489,0.358,0.256,0.186,0.175,0.197
18999,0.486,0.360,0.261,0.187,0.174,0.194
19999,0.482,0.354,0.252,0.182,0.174,0.192
20999,0.525,0.387,0.281,0.205,0.185,0.216
21999,0.484,0.356,0.259,0.190,0.174,0.223
22999,0.486,0.358,0.257,0.189,0.175,0.188
23999,0.498,0.362,0.261,0.188,0.176,0.204
24999,0.497,0.364,0.262,0.193,0.172,0.195
25999,0.495,0.367,0.265,0.193,0.174,0.194
26999,0.497,0.365,0.261,0.192,0.176,0.190
27999,0.473,0.346,0.250,0.183,0.173,0.240
28999,0.492,0.359,0.257,0.186,0.175,0.194
29999,0.501,0.361,0.254,0.181,0.177,0.194
30999,0.484,0.356,0.256,0.187,0.174,0.214
31999,0.486,0.355,0.257,0.186,0.175,0.231
32999,0.485,0.361,0.265,0.194,0.175,0.233
33999,0.484,0.355,0.256,0.187,0.174,0.234
34999,0.497,0.369,0.268,0.196,0.177,0.232
35999,0.491,0.359,0.257,0.186,0.173,0.209
36999,0.484,0.357,0.258,0.185,0.173,0.202
37999,0.469,0.346,0.253,0.186,0.171,0.234
38999,0.489,0.357,0.256,0.187,0.177,0.211
39999,0.494,0.359,0.257,0.186,0.177,0.205
40999,0.495,0.361,0.260,0.192,0.177,0.211
41999,0.485,0.354,0.253,0.186,0.176,0.231
42999,0.475,0.350,0.254,0.187,0.170,0.213
43999,0.494,0.364,0.263,0.192,0.176,0.211
44999,0.495,0.369,0.270,0.200,0.178,0.230
45999,0.487,0.359,0.258,0.190,0.175,0.221
46999,0.478,0.351,0.254,0.185,0.172,0.221
47999,0.470,0.343,0.248,0.184,0.172,0.244
48999,0.474,0.345,0.248,0.182,0.171,0.231
49999,0.457,0.334,0.245,0.182,0.168,0.250
50999,0.472,0.349,0.255,0.187,0.170,0.233
51999,0.482,0.353,0.257,0.188,0.175,0.246
52999,0.453,0.326,0.236,0.174,0.166,0.240
53999,0.494,0.366,0.268,0.198,0.175,0.233
54999,0.476,0.353,0.259,0.191,0.171,0.234
55999,0.478,0.346,0.250,0.182,0.175,0.238
56999,0.486,0.356,0.259,0.191,0.176,0.249
57999,0.476,0.349,0.254,0.186,0.170,0.220
58999,0.478,0.348,0.251,0.184,0.172,0.219
59999,0.487,0.359,0.261,0.190,0.171,0.206
60999,0.469,0.343,0.248,0.182,0.171,0.240
61999,0.497,0.364,0.263,0.194,0.175,0.223
62999,0.462,0.338,0.248,0.182,0.168,0.250
63999,0.484,0.354,0.257,0.190,0.174,0.228
64999,0.490,0.359,0.260,0.190,0.174,0.217
65999,0.495,0.368,0.271,0.202,0.175,0.219
66999,0.487,0.358,0.261,0.193,0.173,0.231
67999,0.494,0.362,0.261,0.191,0.175,0.203
68999,0.493,0.360,0.260,0.190,0.174,0.209
69999,0.481,0.351,0.256,0.187,0.172,0.229
70999,0.480,0.352,0.259,0.194,0.175,0.243
71999,0.465,0.340,0.249,0.184,0.170,0.240
72999,0.480,0.351,0.256,0.189,0.173,0.234
73999,0.490,0.358,0.262,0.194,0.175,0.221
74999,0.482,0.355,0.259,0.192,0.174,0.217
75999,0.478,0.349,0.252,0.185,0.168,0.218
76999,0.458,0.330,0.238,0.174,0.166,0.231
77999,0.471,0.341,0.247,0.180,0.168,0.228
78999,0.484,0.352,0.256,0.188,0.175,0.225
79999,0.476,0.347,0.253,0.184,0.168,0.232
80999,0.475,0.349,0.255,0.188,0.167,0.219
81999,0.486,0.350,0.255,0.188,0.174,0.234
82999,0.477,0.346,0.251,0.182,0.171,0.227
83999,0.467,0.340,0.247,0.180,0.168,0.216
84999,0.480,0.350,0.253,0.185,0.170,0.219
85999,0.472,0.343,0.249,0.182,0.168,0.221
86999,0.453,0.328,0.239,0.175,0.164,0.231
87999,0.471,0.342,0.249,0.182,0.170,0.226
88999,0.466,0.335,0.241,0.175,0.168,0.226
89999,0.465,0.334,0.242,0.176,0.167,0.235
90999,0.471,0.340,0.247,0.180,0.170,0.229
91999,0.464,0.335,0.243,0.179,0.168,0.231
92999,0.466,0.336,0.244,0.179,0.168,0.230
93999,0.467,0.339,0.248,0.184,0.170,0.249
94999,0.475,0.343,0.247,0.179,0.170,0.219
95999,0.469,0.338,0.244,0.179,0.169,0.219
96999,0.477,0.346,0.250,0.181,0.171,0.218
97999,0.463,0.331,0.239,0.173,0.164,0.221
98999,0.478,0.349,0.253,0.185,0.171,0.236
99999,0.458,0.328,0.233,0.166,0.162,0.211
100999,0.455,0.328,0.236,0.172,0.163,0.235
101999,0.463,0.333,0.242,0.177,0.166,0.230
102999,0.476,0.340,0.246,0.179,0.169,0.225
103999,0.471,0.341,0.247,0.178,0.167,0.230
104999,0.465,0.340,0.248,0.181,0.166,0.228
105999,0.469,0.339,0.245,0.178,0.168,0.218
106999,0.471,0.338,0.244,0.178,0.167,0.234
107999,0.469,0.340,0.247,0.181,0.168,0.235
108999,0.443,0.314,0.224,0.158,0.157,0.206
109999,0.468,0.340,0.248,0.182,0.168,0.236
110999,0.472,0.341,0.246,0.178,0.169,0.209
111999,0.454,0.324,0.232,0.166,0.160,0.209
112999,0.463,0.331,0.239,0.172,0.165,0.232
113999,0.461,0.329,0.235,0.167,0.161,0.209
114999,0.463,0.334,0.240,0.172,0.166,0.213
115999,0.456,0.323,0.230,0.166,0.164,0.227
116999,0.482,0.345,0.247,0.178,0.169,0.230
117999,0.477,0.346,0.252,0.184,0.169,0.236
118999,0.467,0.334,0.239,0.171,0.167,0.233
119999,0.458,0.324,0.232,0.166,0.163,0.212
120999,0.469,0.333,0.239,0.172,0.167,0.215
121999,0.468,0.336,0.243,0.176,0.166,0.226
122999,0.471,0.336,0.239,0.170,0.164,0.217
123999,0.474,0.341,0.245,0.175,0.168,0.221
124999,0.467,0.333,0.238,0.169,0.167,0.217
125999,0.465,0.338,0.245,0.176,0.165,0.216
126999,0.475,0.339,0.244,0.177,0.166,0.225
127999,0.465,0.331,0.237,0.167,0.164,0.211
128999,0.455,0.322,0.230,0.163,0.163,0.213
129999,0.464,0.334,0.242,0.175,0.166,0.223
130999,0.461,0.326,0.234,0.166,0.163,0.212
131999,0.470,0.334,0.238,0.170,0.167,0.228
132999,0.471,0.340,0.245,0.176,0.167,0.224
133999,0.473,0.338,0.244,0.175,0.168,0.218
134999,0.473,0.339,0.244,0.173,0.168,0.210
135999,0.472,0.338,0.242,0.172,0.167,0.215
136999,0.473,0.336,0.243,0.175,0.166,0.222
137999,0.465,0.331,0.236,0.165,0.164,0.193
138999,0.480,0.343,0.247,0.177,0.169,0.218
139999,0.470,0.337,0.243,0.174,0.167,0.226
140999,0.470,0.333,0.238,0.170,0.166,0.210
141999,0.475,0.341,0.247,0.178,0.168,0.222
142999,0.469,0.332,0.239,0.171,0.165,0.217
143999,0.480,0.341,0.244,0.174,0.167,0.214
144999,0.478,0.342,0.246,0.176,0.171,0.221
145999,0.468,0.332,0.237,0.169,0.167,0.212
146999,0.472,0.335,0.239,0.170,0.166,0.214
147999,0.471,0.335,0.241,0.175,0.166,0.230
148999,0.460,0.325,0.232,0.163,0.163,0.200
149999,0.469,0.333,0.239,0.171,0.165,0.211
150999,0.475,0.339,0.245,0.176,0.168,0.221
151999,0.460,0.325,0.233,0.167,0.164,0.211
152999,0.473,0.334,0.237,0.167,0.166,0.206
153999,0.479,0.338,0.243,0.173,0.168,0.216
154999,0.476,0.338,0.240,0.169,0.167,0.199
155999,0.477,0.336,0.238,0.170,0.168,0.215
156999,0.482,0.342,0.246,0.175,0.171,0.213
157999,0.474,0.336,0.239,0.167,0.166,0.204
158999,0.472,0.333,0.236,0.166,0.165,0.197
159999,0.472,0.333,0.236,0.166,0.164,0.196
160999,0.481,0.339,0.241,0.172,0.169,0.211
161999,0.478,0.337,0.241,0.173,0.168,0.228
162999,0.478,0.335,0.238,0.168,0.167,0.206
163999,0.475,0.334,0.238,0.168,0.167,0.208
164999,0.473,0.335,0.238,0.167,0.167,0.202
165999,0.475,0.336,0.240,0.169,0.166,0.203
166999,0.478,0.337,0.240,0.170,0.167,0.208
167999,0.463,0.325,0.230,0.161,0.164,0.198
168999,0.473,0.334,0.236,0.165,0.164,0.198
169999,0.465,0.326,0.230,0.161,0.164,0.200
170999,0.475,0.334,0.237,0.167,0.164,0.214
171999,0.479,0.340,0.243,0.173,0.166,0.205
172999,0.467,0.329,0.234,0.164,0.164,0.184
173999,0.474,0.335,0.238,0.168,0.166,0.201
174999,0.475,0.332,0.236,0.167,0.163,0.201
175999,0.472,0.330,0.232,0.161,0.164,0.198
176999,0.482,0.338,0.236,0.164,0.167,0.204
177999,0.476,0.334,0.237,0.168,0.162,0.210
178999,0.488,0.346,0.248,0.176,0.169,0.211
179999,0.476,0.334,0.236,0.167,0.165,0.206
180999,0.464,0.323,0.228,0.160,0.163,0.200
181999,0.488,0.341,0.241,0.168,0.170,0.214
182999,0.470,0.328,0.233,0.162,0.163,0.199
183999,0.479,0.339,0.242,0.171,0.166,0.203
184999,0.478,0.335,0.238,0.169,0.165,0.195
185999,0.474,0.332,0.236,0.167,0.165,0.204
