Checkpoints,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,CIDEr
186999,0.476,0.332,0.235,0.164,0.164,0.195
187999,0.470,0.328,0.231,0.160,0.165,0.198
188999,0.478,0.334,0.236,0.166,0.165,0.197
189999,0.475,0.332,0.235,0.166,0.164,0.197
190999,0.474,0.330,0.232,0.163,0.163,0.198
191999,0.473,0.331,0.235,0.166,0.164,0.208
192999,0.475,0.333,0.234,0.164,0.164,0.196
193999,0.467,0.326,0.231,0.162,0.162,0.201
194999,0.497,0.349,0.248,0.175,0.173,0.218
195999,0.477,0.333,0.235,0.163,0.166,0.203
196999,0.468,0.326,0.230,0.159,0.163,0.181
197999,0.481,0.336,0.240,0.172,0.166,0.207
198999,0.476,0.334,0.237,0.166,0.165,0.207
199999,0.480,0.337,0.240,0.169,0.167,0.213
200999,0.485,0.340,0.241,0.167,0.169,0.204
201999,0.473,0.331,0.234,0.164,0.166,0.210
202999,0.478,0.332,0.234,0.163,0.165,0.199
203999,0.468,0.325,0.230,0.163,0.162,0.207
204999,0.478,0.335,0.238,0.169,0.167,0.208
205999,0.482,0.339,0.240,0.168,0.168,0.199
206999,0.483,0.338,0.239,0.168,0.165,0.206
207999,0.488,0.342,0.243,0.170,0.171,0.215
208999,0.479,0.337,0.240,0.170,0.166,0.215
209999,0.478,0.333,0.233,0.162,0.164,0.199
210999,0.469,0.324,0.228,0.159,0.164,0.195
211999,0.489,0.345,0.243,0.169,0.168,0.201
212999,0.480,0.335,0.237,0.166,0.166,0.197
213999,0.479,0.334,0.235,0.164,0.164,0.191
214999,0.479,0.333,0.235,0.164,0.164,0.198
215999,0.478,0.337,0.242,0.173,0.166,0.211
216999,0.476,0.332,0.234,0.161,0.164,0.189
217999,0.481,0.335,0.238,0.167,0.166,0.200
218999,0.482,0.335,0.237,0.167,0.167,0.204
219999,0.475,0.331,0.233,0.162,0.164,0.193
220999,0.485,0.339,0.239,0.169,0.167,0.209
221999,0.484,0.341,0.243,0.170,0.169,0.217
222999,0.473,0.329,0.233,0.162,0.163,0.204
223999,0.490,0.342,0.240,0.166,0.168,0.206
224999,0.471,0.330,0.236,0.168,0.166,0.215
225999,0.472,0.329,0.231,0.161,0.164,0.192
226999,0.471,0.327,0.229,0.158,0.161,0.202
227999,0.486,0.342,0.244,0.174,0.169,0.218
228999,0.478,0.334,0.236,0.165,0.166,0.203
229999,0.484,0.339,0.238,0.164,0.166,0.195
230999,0.488,0.344,0.244,0.172,0.169,0.212
231999,0.485,0.342,0.243,0.172,0.169,0.220
232999,0.480,0.336,0.237,0.166,0.164,0.204
233999,0.478,0.335,0.237,0.166,0.166,0.210
234999,0.474,0.331,0.234,0.164,0.164,0.201
235999,0.475,0.333,0.236,0.166,0.165,0.196
236999,0.478,0.334,0.236,0.165,0.165,0.206
237999,0.478,0.334,0.234,0.161,0.164,0.194
238999,0.471,0.331,0.234,0.164,0.163,0.189
239999,0.474,0.330,0.231,0.159,0.162,0.188
240999,0.471,0.325,0.225,0.152,0.163,0.191
241999,0.479,0.337,0.240,0.169,0.167,0.213
242999,0.477,0.335,0.237,0.166,0.166,0.203
243999,0.478,0.336,0.240,0.170,0.167,0.205
244999,0.479,0.338,0.240,0.169,0.166,0.209
245999,0.473,0.329,0.231,0.160,0.161,0.188
246999,0.486,0.342,0.241,0.166,0.168,0.194
247999,0.479,0.336,0.239,0.168,0.165,0.212
248999,0.480,0.337,0.239,0.168,0.167,0.199
249999,0.475,0.329,0.230,0.158,0.166,0.189
250999,0.480,0.336,0.237,0.165,0.167,0.200
251999,0.479,0.337,0.241,0.172,0.166,0.216
252999,0.473,0.331,0.233,0.161,0.163,0.193
253999,0.474,0.330,0.232,0.161,0.163,0.197
254999,0.472,0.328,0.232,0.161,0.163,0.194
255999,0.490,0.346,0.247,0.176,0.169,0.219
256999,0.479,0.334,0.234,0.161,0.165,0.193
257999,0.476,0.334,0.238,0.168,0.165,0.206
258999,0.486,0.341,0.240,0.167,0.165,0.204
259999,0.479,0.333,0.234,0.161,0.166,0.192
260999,0.480,0.336,0.239,0.170,0.166,0.223
261999,0.473,0.324,0.225,0.154,0.163,0.205
262999,0.480,0.334,0.232,0.159,0.164,0.191
263999,0.480,0.336,0.237,0.164,0.167,0.198
264999,0.478,0.333,0.233,0.159,0.164,0.192
265999,0.470,0.326,0.229,0.160,0.163,0.201
266999,0.485,0.338,0.238,0.165,0.167,0.203
267999,0.487,0.339,0.238,0.164,0.167,0.200
268999,0.482,0.334,0.234,0.162,0.165,0.202
269999,0.474,0.331,0.235,0.164,0.163,0.210
270999,0.480,0.333,0.234,0.161,0.166,0.185
271999,0.475,0.330,0.232,0.160,0.165,0.197
272999,0.482,0.338,0.239,0.167,0.167,0.204
273999,0.482,0.337,0.239,0.168,0.167,0.216
274999,0.470,0.328,0.232,0.160,0.166,0.191
275999,0.478,0.331,0.232,0.160,0.165,0.198
276999,0.484,0.340,0.243,0.170,0.168,0.197
277999,0.479,0.336,0.238,0.167,0.167,0.208
278999,0.476,0.332,0.232,0.160,0.166,0.199
279999,0.479,0.335,0.235,0.163,0.166,0.212
280999,0.484,0.342,0.243,0.170,0.166,0.206
281999,0.486,0.341,0.241,0.167,0.170,0.200
282999,0.483,0.339,0.239,0.167,0.167,0.206
283999,0.481,0.334,0.234,0.162,0.165,0.202
284999,0.473,0.333,0.237,0.166,0.166,0.211
285999,0.484,0.337,0.235,0.161,0.167,0.199
286999,0.468,0.324,0.228,0.158,0.162,0.198
287999,0.478,0.335,0.238,0.168,0.166,0.209
288999,0.479,0.336,0.241,0.169,0.166,0.211
289999,0.475,0.332,0.235,0.166,0.164,0.205
290999,0.496,0.349,0.247,0.173,0.173,0.218
291999,0.494,0.348,0.247,0.173,0.171,0.208
292999,0.474,0.328,0.229,0.157,0.162,0.194
293999,0.483,0.338,0.239,0.166,0.168,0.209
294999,0.475,0.331,0.235,0.165,0.165,0.199
295999,0.488,0.341,0.241,0.168,0.168,0.212
296999,0.480,0.335,0.236,0.162,0.167,0.204
297999,0.484,0.336,0.236,0.164,0.166,0.196
298999,0.485,0.341,0.242,0.168,0.168,0.207
299999,0.466,0.326,0.229,0.159,0.163,0.197
300999,0.470,0.326,0.229,0.157,0.164,0.192
301999,0.484,0.336,0.236,0.163,0.166,0.203
302999,0.489,0.344,0.243,0.169,0.168,0.199
303999,0.478,0.336,0.239,0.168,0.167,0.207
304999,0.478,0.331,0.232,0.159,0.165,0.196
305999,0.478,0.333,0.235,0.163,0.165,0.204
306999,0.473,0.329,0.232,0.161,0.163,0.205
307999,0.483,0.336,0.237,0.164,0.163,0.197
308999,0.481,0.335,0.237,0.166,0.163,0.208
309999,0.485,0.342,0.243,0.170,0.168,0.204
310999,0.487,0.343,0.245,0.172,0.169,0.217
311999,0.473,0.331,0.236,0.166,0.164,0.208
312999,0.487,0.339,0.239,0.167,0.170,0.215
313999,0.478,0.333,0.234,0.162,0.165,0.206
314999,0.486,0.341,0.242,0.167,0.169,0.206
315999,0.477,0.331,0.233,0.161,0.165,0.195
316999,0.480,0.334,0.235,0.163,0.164,0.202
317999,0.482,0.337,0.239,0.167,0.168,0.203
318999,0.481,0.335,0.236,0.163,0.167,0.193
319999,0.474,0.334,0.238,0.167,0.166,0.209
320999,0.476,0.334,0.238,0.169,0.167,0.204
321999,0.482,0.337,0.239,0.168,0.166,0.208
322999,0.485,0.340,0.242,0.170,0.167,0.210
323999,0.473,0.330,0.234,0.163,0.164,0.204
324999,0.490,0.344,0.246,0.174,0.169,0.214
325999,0.477,0.331,0.233,0.159,0.165,0.186
326999,0.492,0.344,0.245,0.170,0.170,0.210
327999,0.482,0.335,0.236,0.164,0.167,0.205
328999,0.471,0.326,0.228,0.156,0.162,0.193
329999,0.487,0.340,0.239,0.164,0.169,0.198
330999,0.485,0.332,0.231,0.159,0.166,0.190
331999,0.487,0.338,0.237,0.164,0.168,0.205
332999,0.477,0.329,0.231,0.160,0.162,0.193
333999,0.483,0.337,0.239,0.167,0.169,0.210
334999,0.481,0.336,0.238,0.168,0.164,0.212
335999,0.492,0.345,0.245,0.172,0.170,0.214
336999,0.481,0.335,0.238,0.168,0.165,0.202
337999,0.480,0.334,0.233,0.159,0.166,0.197
338999,0.488,0.343,0.244,0.170,0.170,0.208
339999,0.482,0.337,0.240,0.168,0.167,0.206
340999,0.480,0.339,0.242,0.171,0.168,0.209
341999,0.479,0.337,0.241,0.170,0.168,0.216
342999,0.482,0.336,0.236,0.162,0.166,0.194
343999,0.484,0.336,0.236,0.166,0.167,0.208
344999,0.493,0.345,0.244,0.171,0.172,0.206
345999,0.487,0.341,0.243,0.172,0.169,0.206
346999,0.479,0.335,0.238,0.168,0.166,0.209
347999,0.481,0.332,0.233,0.159,0.163,0.197
348999,0.468,0.325,0.230,0.161,0.163,0.207
349999,0.494,0.346,0.246,0.174,0.170,0.211
350999,0.484,0.337,0.238,0.166,0.168,0.212
351999,0.481,0.335,0.237,0.165,0.164,0.198
352999,0.480,0.333,0.235,0.164,0.166,0.197
353999,0.486,0.341,0.240,0.166,0.169,0.203
354999,0.482,0.336,0.237,0.164,0.169,0.209
355999,0.485,0.340,0.243,0.172,0.167,0.209
356999,0.477,0.334,0.239,0.168,0.165,0.204
357999,0.483,0.339,0.241,0.170,0.166,0.202
358999,0.492,0.343,0.242,0.169,0.169,0.209
359999,0.488,0.344,0.245,0.171,0.169,0.212
360999,0.494,0.345,0.244,0.169,0.169,0.205
361999,0.489,0.339,0.238,0.164,0.167,0.200
362999,0.476,0.329,0.231,0.160,0.165,0.198
363999,0.481,0.335,0.236,0.163,0.166,0.192
364999,0.484,0.334,0.234,0.162,0.164,0.202
365999,0.476,0.332,0.236,0.165,0.164,0.197
366999,0.475,0.328,0.230,0.158,0.164,0.187
367999,0.483,0.333,0.233,0.161,0.165,0.189
368999,0.489,0.343,0.243,0.171,0.170,0.223
369999,0.473,0.330,0.233,0.162,0.164,0.199
370999,0.486,0.341,0.243,0.171,0.168,0.220
371999,0.475,0.331,0.233,0.162,0.162,0.203
372999,0.477,0.330,0.231,0.159,0.165,0.199
373999,0.489,0.343,0.244,0.170,0.170,0.206
374999,0.486,0.338,0.240,0.169,0.166,0.198
375999,0.483,0.338,0.240,0.170,0.167,0.201
376999,0.480,0.335,0.237,0.166,0.167,0.199
377999,0.489,0.340,0.239,0.165,0.169,0.195
378999,0.482,0.335,0.238,0.166,0.166,0.208
379999,0.480,0.332,0.233,0.161,0.164,0.188
380999,0.497,0.345,0.246,0.175,0.170,0.224
381999,0.480,0.333,0.236,0.165,0.165,0.205
382999,0.485,0.337,0.238,0.167,0.167,0.193
383999,0.486,0.337,0.236,0.162,0.167,0.198
384999,0.485,0.337,0.236,0.163,0.166,0.200
385999,0.487,0.339,0.239,0.167,0.169,0.215
386999,0.485,0.339,0.241,0.169,0.169,0.201
387999,0.484,0.338,0.239,0.167,0.166,0.213
388999,0.482,0.336,0.236,0.163,0.164,0.202
389999,0.491,0.346,0.248,0.176,0.169,0.211
390999,0.478,0.331,0.232,0.160,0.163,0.197
391999,0.493,0.347,0.246,0.173,0.171,0.215
392999,0.485,0.337,0.238,0.166,0.168,0.204
393999,0.474,0.327,0.230,0.159,0.164,0.191
394999,0.488,0.341,0.243,0.171,0.170,0.216
395999,0.492,0.345,0.244,0.168,0.168,0.191
396999,0.489,0.340,0.240,0.168,0.166,0.205
397999,0.487,0.338,0.238,0.166,0.169,0.209
398999,0.479,0.332,0.233,0.162,0.163,0.196
399999,0.485,0.337,0.237,0.165,0.168,0.217
400999,0.485,0.338,0.239,0.168,0.167,0.210
401999,0.484,0.337,0.239,0.167,0.167,0.201
402999,0.487,0.341,0.242,0.171,0.169,0.217
403999,0.493,0.346,0.246,0.173,0.170,0.218
404999,0.481,0.335,0.237,0.165,0.165,0.199
405999,0.488,0.343,0.246,0.173,0.168,0.215
406999,0.481,0.334,0.236,0.167,0.166,0.201
407999,0.489,0.339,0.238,0.165,0.166,0.196
408999,0.496,0.348,0.248,0.174,0.171,0.209
409999,0.482,0.338,0.242,0.171,0.166,0.209
410999,0.479,0.330,0.231,0.159,0.164,0.198
411999,0.493,0.344,0.244,0.171,0.171,0.223
412999,0.486,0.340,0.241,0.168,0.168,0.216
413999,0.484,0.335,0.237,0.165,0.167,0.219
414999,0.496,0.351,0.251,0.179,0.172,0.231
415999,0.490,0.346,0.247,0.177,0.170,0.225
416999,0.500,0.350,0.249,0.176,0.171,0.222
417999,0.484,0.340,0.243,0.172,0.168,0.212
418999,0.483,0.336,0.237,0.165,0.166,0.204
419999,0.488,0.343,0.244,0.171,0.169,0.214
420999,0.489,0.340,0.240,0.167,0.169,0.205
421999,0.485,0.339,0.239,0.167,0.167,0.208
422999,0.495,0.348,0.248,0.177,0.172,0.211
423999,0.494,0.347,0.248,0.175,0.169,0.218
424999,0.492,0.344,0.244,0.171,0.167,0.217
425999,0.487,0.343,0.245,0.173,0.167,0.221
426999,0.481,0.336,0.237,0.168,0.164,0.206
427999,0.491,0.345,0.246,0.174,0.168,0.210
428999,0.490,0.343,0.246,0.175,0.167,0.212
429999,0.489,0.341,0.241,0.168,0.169,0.214
430999,0.487,0.340,0.241,0.168,0.168,0.214
431999,0.494,0.343,0.241,0.167,0.171,0.210
432999,0.486,0.338,0.238,0.166,0.166,0.199
433999,0.490,0.346,0.247,0.175,0.169,0.223
434999,0.492,0.346,0.247,0.176,0.169,0.220
435999,0.487,0.340,0.241,0.169,0.168,0.204
436999,0.492,0.347,0.248,0.175,0.172,0.225
437999,0.487,0.342,0.243,0.172,0.168,0.213
438999,0.485,0.340,0.242,0.170,0.169,0.209
439999,0.495,0.344,0.242,0.169,0.168,0.205
440999,0.496,0.348,0.248,0.175,0.170,0.212
441999,0.476,0.331,0.233,0.160,0.163,0.192
442999,0.487,0.337,0.237,0.163,0.167,0.204
443999,0.487,0.342,0.243,0.170,0.169,0.207
444999,0.482,0.335,0.237,0.164,0.165,0.201
445999,0.490,0.340,0.240,0.166,0.169,0.197
446999,0.488,0.343,0.245,0.173,0.169,0.221
447999,0.486,0.338,0.240,0.168,0.166,0.215
448999,0.484,0.336,0.237,0.165,0.168,0.203
449999,0.483,0.337,0.237,0.164,0.166,0.198
450999,0.479,0.334,0.237,0.167,0.165,0.208
451999,0.486,0.339,0.240,0.167,0.169,0.203
452999,0.485,0.337,0.238,0.164,0.166,0.203
453999,0.487,0.339,0.239,0.165,0.169,0.205
454999,0.489,0.342,0.242,0.169,0.165,0.201
455999,0.492,0.343,0.241,0.167,0.169,0.198
456999,0.489,0.342,0.246,0.174,0.169,0.218
457999,0.485,0.337,0.238,0.165,0.167,0.204
458999,0.490,0.345,0.245,0.172,0.169,0.204
459999,0.480,0.334,0.236,0.165,0.165,0.199
460999,0.489,0.339,0.239,0.164,0.166,0.196
461999,0.490,0.342,0.243,0.171,0.168,0.212
462999,0.491,0.341,0.240,0.166,0.169,0.206
463999,0.496,0.348,0.249,0.176,0.169,0.210
464999,0.489,0.339,0.241,0.171,0.168,0.207
465999,0.484,0.336,0.236,0.165,0.165,0.208
466999,0.487,0.339,0.243,0.173,0.169,0.214
467999,0.490,0.342,0.243,0.169,0.169,0.207
468999,0.481,0.332,0.233,0.162,0.166,0.199
469999,0.493,0.341,0.240,0.167,0.169,0.202
470999,0.490,0.342,0.242,0.170,0.169,0.209
471999,0.487,0.338,0.238,0.166,0.168,0.203
472999,0.482,0.336,0.236,0.163,0.167,0.199
473999,0.495,0.344,0.243,0.169,0.168,0.202
474999,0.484,0.336,0.238,0.165,0.166,0.199
475999,0.487,0.340,0.241,0.169,0.167,0.210
476999,0.485,0.337,0.239,0.167,0.168,0.204
477999,0.484,0.336,0.237,0.166,0.166,0.197
478999,0.490,0.342,0.244,0.171,0.168,0.210
479999,0.484,0.337,0.239,0.166,0.165,0.193
480999,0.492,0.341,0.241,0.170,0.169,0.217
481999,0.492,0.345,0.246,0.174,0.168,0.208
482999,0.492,0.342,0.239,0.164,0.168,0.198
483999,0.485,0.338,0.239,0.167,0.166,0.205
484999,0.483,0.336,0.237,0.164,0.164,0.187
485999,0.479,0.333,0.236,0.165,0.164,0.201
486999,0.493,0.345,0.244,0.171,0.169,0.210
487999,0.490,0.343,0.244,0.173,0.168,0.199
488999,0.483,0.338,0.239,0.167,0.165,0.201
489999,0.491,0.341,0.241,0.167,0.168,0.193
490999,0.491,0.341,0.239,0.166,0.167,0.202
491999,0.487,0.337,0.238,0.165,0.167,0.201
492999,0.488,0.343,0.244,0.173,0.168,0.210
493999,0.488,0.340,0.240,0.168,0.168,0.210
494999,0.492,0.343,0.242,0.170,0.170,0.207
495999,0.496,0.345,0.244,0.170,0.169,0.200
496999,0.501,0.351,0.249,0.175,0.172,0.206
497999,0.488,0.339,0.240,0.170,0.167,0.209
498999,0.484,0.337,0.238,0.166,0.168,0.198
499999,0.486,0.342,0.244,0.171,0.167,0.197
