"caption_type","Strongly Disagree","Disagree","Neutral","Agree","Strongly Agree"
"im2txt_low","42.27","16.36","11.36","20.00","10.00"
"im2txt_high","29.09","21.36","12.73","17.73","19.09"
"im2txt_combined","44.09","17.27","9.09","16.82","12.73"
"seq2seq_low","59.09","22.73","10.91","6.36","0.91"
"seq2seq_high","52.27","28.64","12.73","4.55","1.82"
"seq2seq_combined","50.91","26.36","15.00","7.27","0.45"
"neuraltalk_low","50.91","12.73","8.18","11.82","16.36"
"neuraltalk_high","61.82","16.82","6.36","5.91","9.09"
"neuraltalk_combined","49.55","15.45","7.27","10.45","17.27"
"groundtruth_low","8.64","9.09","9.09","35.91","37.27"
"groundtruth_high","3.64","5.45","6.82","35.45","48.64"
