"caption_type","Is easy to read and understand","Is somewhat readable and understandable","Is hard to read and understand"
"im2txt_low","43.18","23.64","33.18"
"im2txt_high","49.09","22.73","28.18"
"im2txt_combined","39.09","19.55","41.36"
"seq2seq_low","31.36","29.55","39.09"
"seq2seq_high","43.64","28.64","27.73"
"seq2seq_combined","39.55","32.27","28.18"
"neuraltalk_low","37.73","22.73","39.55"
"neuraltalk_high","28.64","20.91","50.45"
"neuraltalk_combined","38.18","20.45","41.36"
"groundtruth_low","67.73","24.09","8.18"
"groundtruth_high","81.36","16.82","1.82"
